,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente Goirle,,Goirle,Gemeente,,18/05/2022,GOIRLE,51.522,5.07
Gemeente Gooise Meren,,Gooise Meren,Gemeente,01/01/2016,27/04/2022,BUSSUM,52.278,5.164
Gemeente Gorinchem,,Gorinchem,Gemeente,,12/05/2022,GORINCHEM,51.832,4.965
Gemeente Gouda,,Gouda,Gemeente,,19/04/2022,GOUDA,52.018,4.708
Gemeente Groningen,,Groningen,Gemeente,,19/05/2022,GRONINGEN,53.219,6.567
Gemeente Gulpen-Wittem,,Gulpen-Wittem,Gemeente,01/01/1999,27/04/2022,GULPEN,50.815,5.888
Gemeente Haaksbergen,,Haaksbergen,Gemeente,,27/04/2022,HAAKSBERGEN,52.155,6.742
Gemeente Haarlem,,Haarlem,Gemeente,,04/05/2022,HAARLEM,,
Gemeente Haarlemmermeer,,Haarlemmermeer,Gemeente,,25/05/2022,HOOFDDORP,52.302,4.696
Gemeente Halderberge,,Halderberge,Gemeente,01/01/1997,24/05/2022,OUDENBOSCH,51.588,4.532
Gemeente Hardenberg,,Hardenberg,Gemeente,01/05/1941,19/04/2022,HARDENBERG,52.574,6.619
Gemeente Harderwijk,,Harderwijk,Gemeente,,22/04/2022,HARDERWIJK,52.352,5.623
Gemeente Hardinxveld-Giessendam,,Hardinxveld-Giessendam,Gemeente,01/01/1957,12/05/2022,HARDINXVELD-GIESSENDAM,51.824,4.834
Gemeente Harlingen,,Harlingen,Gemeente,,11/05/2022,HARLINGEN,53.175,5.418
Gemeente Hattem,,Hattem,Gemeente,,19/04/2022,HATTEM,52.475,6.07
Gemeente Heemskerk,,Heemskerk,Gemeente,,09/06/2022,HEEMSKERK,52.507,4.67
Gemeente Heemstede,,Heemstede,Gemeente,,09/06/2022,HEEMSTEDE,52.346,4.619
Gemeente Heerde,,Heerde,Gemeente,,27/04/2022,HEERDE,52.386,6.036
Gemeente Heerenveen,,Heerenveen,Gemeente,01/07/1934,26/04/2022,HEERENVEEN,52.962,5.921
Gemeente Heerlen,,Heerlen,Gemeente,,16/06/2022,HEERLEN,50.887,5.973
Gemeente Heeze-Leende,,Heeze-Leende,Gemeente,01/01/1997,19/04/2022,HEEZE,51.38,5.577
Gemeente Heiloo,,Heiloo,Gemeente,,30/04/2022,HEILOO,52.604,4.713
Gemeente Hellendoorn,,Hellendoorn,Gemeente,,10/06/2022,NIJVERDAL,52.364,6.462
Gemeente Hellevoetsluis,,Hellevoetsluis,Gemeente,,23/04/2022,HELLEVOETSLUIS,51.824,4.13
Gemeente Helmond,,Helmond,Gemeente,,21/04/2022,HELMOND,51.478,5.651
Gemeente Hendrik-Ido-Ambacht,,Hendrik-Ido-Ambacht,Gemeente,,19/04/2022,HENDRIK-IDO-AMBACHT,51.845,4.637
Gemeente Hengelo,,Hengelo,Gemeente,,17/06/2022,HENGELO OV,52.266,6.792
Gemeente 's-Hertogenbosch,,'s-Hertogenbosch,Gemeente,,18/05/2022,'S-HERTOGENBOSCH,51.687,5.303
Gemeente Het Hogeland,,Het Hogeland,Gemeente,01/01/2019,12/05/2022,UITHUIZEN,,
Gemeente Heumen,,Heumen,Gemeente,,12/05/2022,MALDEN,51.781,5.852
Gemeente Heusden,,Heusden,Gemeente,,14/06/2022,VLIJMEN,51.697,5.223
Gemeente Hillegom,,Hillegom,Gemeente,,11/05/2022,HILLEGOM,52.291,4.579
Gemeente Hilvarenbeek,,Hilvarenbeek,Gemeente,,20/05/2022,HILVARENBEEK,51.485,5.135
Gemeente Hilversum,,Hilversum,Gemeente,,15/06/2022,HILVERSUM,52.229,5.169
Gemeente Hoeksche Waard,,Hoeksche Waard,Gemeente,01/01/2019,31/05/2022,OUD-BEIJERLAND,,
Gemeente Hof van Twente,,Hof van Twente,Gemeente,01/01/2001,20/05/2022,GOOR,52.233,6.585
Gemeente Hollands Kroon,,Hollands Kroon,Gemeente,01/01/2012,31/05/2022,ANNA PAULOWNA,52.862,4.818
Gemeente Hoogeveen,,Hoogeveen,Gemeente,,27/04/2022,HOOGEVEEN,52.726,6.475
Gemeente Hoorn,,Hoorn,Gemeente,,20/04/2022,HOORN NH,52.655,5.063
Gemeente Horst aan de Maas,,Horst aan de Maas,Gemeente,01/01/2001,10/06/2022,HORST,51.454,6.053
Gemeente Houten,,Houten,Gemeente,,26/05/2022,HOUTEN,52.034,5.167
Gemeente Huizen,,Huizen,Gemeente,,14/06/2022,HUIZEN,52.298,5.242
Gemeente Hulst,,Hulst,Gemeente,,27/04/2022,HULST,51.28,4.054
Gemeente IJsselstein,,IJsselstein,Gemeente,,04/05/2022,IJSSELSTEIN UT,52.018,5.04
Gemeente Kaag en Braassem,,Kaag en Braassem,Gemeente,01/01/2009,26/04/2022,ROELOFARENDSVEEN,52.202,4.631
Gemeente Kampen,,Kampen,Gemeente,,03/06/2022,KAMPEN,52.552,5.913
Gemeente Kapelle,,Kapelle,Gemeente,,14/05/2022,KAPELLE,51.486,3.957
Gemeente Katwijk,,Katwijk,Gemeente,,09/06/2022,KATWIJK ZH,52.199,4.414
Gemeente Kerkrade,,Kerkrade,Gemeente,,15/06/2022,KERKRADE,50.865,6.062
Gemeente Koggenland,,Koggenland,Gemeente,01/01/2007,12/05/2022,DE GOORN,52.625,4.948
