Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,Unnamed: 0,distance,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Inwoneraantal,"Groot, middelgroot en klein",Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
502,CAPELLE AAN DEN IJSSEL,28,ZUID-HOLLAND,440560.0,1411130.0,5296.0,9.113801789606237,ROTTERDAM,37.1,4.4,66854.0,Middelgroot,NO DATA,5543.0,13962.0
383,CASTRICUM,27,NOORD-HOLLAND,300400.0,584060.0,4005.0,20.45943908138985,BERKHOUT,   38.6,,35608.0,Klein,NO DATA,10408.0,29881.0
109,COEVORDEN,22,DRENTHE,642850.0,1212390.0,1180.0,11.49955202118841,HOOGEVEEN,36.3,4.0,35299.0,Klein,ROOD,11855.0,39609.0
1706,CRANENDONCK,30,NOORD-BRABANT,228070.0,512690.0,10277.0,23.127465842407403,EINDHOVEN,36.9,3.8,,,ROOD,4399.0,18354.0
1684,CUIJK,30,NOORD-BRABANT,256880.0,580590.0,10034.0,12.330491886655006,VOLKEL,37.2,3.7,,,ROOD,5190.0,19143.0
216,CULEMBORG,25,GELDERLAND,91090.0,216680.0,2037.0,10.621036740368424,HERWIJNEN,37.6,4.1,,,NO DATA,6615.0,19788.0
148,DALFSEN,23,OVERIJSSEL,395300.0,794440.0,1362.0,34.16243148786252,HOOGEVEEN,36.3,4.0,,,ROOD,9435.0,34710.0
1891,DANTUMADIEL,21,FRIESLAND,197180.0,336070.0,10985.0,17.299864712728915,LEEUWARDEN,38.0,4.7,,,NO DATA,4053.0,14206.0
503,DELFT,28,ZUID-HOLLAND,566810.0,1417260.0,5322.0,7.437471689886757,ROTTERDAM,37.1,4.4,102253.0,Groot,NO DATA,10476.0,25756.0
10,DELFZIJL,20,GRONINGEN,473330.0,805680.0,121.0,19.157613188685904,NIEUW BEERTA,36.6,5.0,,,ROOD,7774.0,26415.0
762,DEURNE,30,NOORD-BRABANT,251670.0,567460.0,7590.0,25.83882054637745,VOLKEL,37.2,3.7,32137.0,Klein,ROOD,5301.0,21832.0
150,DEVENTER,23,OVERIJSSEL,760360.0,1607220.0,1381.0,33.04323543405214,DEELEN,35.0,3.8,99653.0,Middelgroot,ORANJE,15112.0,50088.0
384,DIEMEN,27,NOORD-HOLLAND,196690.0,609060.0,4049.0,13.111350699827245,SCHIPHOL,37.7,5.0,,,NO DATA,3059.0,10009.0
1774,DINKELLAND,23,OVERIJSSEL,612780.0,1289620.0,10811.0,8.521195864303198,TWENTHE,35.7,3.5,,,GEEL,5301.0,23487.0
