Gemeentenaam,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
Roermond,11325.0,42699.0
Roosendaal,11141.0,42960.0
Rotterdam,27201.0,75146.0
Rozendaal,200.0,890.0
Rucphen,3045.0,12782.0
Schagen,9564.0,33611.0
Scherpenzeel,1239.0,4539.0
Schiedam,4002.0,12009.0
Schiermonnikoog,315.0,1242.0
Schouwen-Duiveland,9787.0,30188.0
Simpelveld,2760.0,10476.0
Sint Anthonis,2307.0,11654.0
Sint-Michielsgestel,6309.0,25785.0
Sittard-Geleen,18923.0,69711.0
Sliedrecht,2957.0,8907.0
Sluis,6087.0,19926.0
Smallingerland,12156.0,42407.0
Soest,7240.0,25506.0
Someren,4651.0,21424.0
Son en Breugel,3972.0,15738.0
Stadskanaal,5790.0,25401.0
Staphorst,3065.0,10898.0
Stede Broec,6018.0,16772.0
Steenbergen,5146.0,17113.0
Steenwijkerland,8580.0,30311.0
Stein,9075.0,34366.0
Stichtse Vecht,9378.0,28347.0
S̼dwest-Frysl̢n,20143.0,70340.0
Terneuzen,13225.0,40898.0
Terschelling,654.0,2851.0
Texel,3201.0,10409.0
Teylingen,6924.0,20253.0
Tholen,7023.0,20368.0
Tiel,5478.0,18613.0
Tilburg,25762.0,82619.0
Tubbergen,3165.0,14334.0
Twenterand,6370.0,24077.0
Tynaarlo,10319.0,36768.0
Tytsjerksteradiel,8993.0,31063.0
Uden,11271.0,38672.0
Uitgeest,3951.0,11558.0
Uithoorn,4248.0,13673.0
Urk,2388.0,8923.0
Utrecht,41682.0,116340.0
Utrechtse Heuvelrug,9417.0,29377.0
Vaals,2195.0,7119.0
Valkenburg aan de Geul,3324.0,14176.0
Valkenswaard,6780.0,24700.0
Veendam,3882.0,15435.0
Veenendaal,11183.0,36644.0
Veere,8096.0,25823.0
Veldhoven,8532.0,30777.0
Velsen,6931.0,19367.0
Venlo,21877.0,71713.0
Venray,13280.0,45806.0
Vijfheerenlanden,11002.0,32833.0
Vlaardingen,5774.0,13661.0
Vlieland,182.0,608.0
Vlissingen,14830.0,33841.0
Voerendaal,3315.0,13440.0
Voorschoten,2916.0,9284.0
Voorst,4870.0,19301.0
Vught,3122.0,11482.0
Waadhoeke,9263.0,31823.0
Waalre,3789.0,14541.0
Waalwijk,5388.0,20407.0
Waddinxveen,4859.0,15838.0
Wageningen,8190.0,23476.0
Wassenaar,2387.0,6971.0
Waterland,2491.0,7346.0
Weert,11204.0,43772.0
Weesp,3027.0,8708.0
West Betuwe,10747.0,39883.0
West Maas en Waal,6690.0,22364.0
Westerkwartier,15129.0,59129.0
Westerveld,8113.0,26823.0
Westervoort,2484.0,8962.0
Westerwolde,4362.0,19032.0
Westland,15800.0,61091.0
Weststellingwerf,4931.0,21142.0
Westvoorne,3449.0,12055.0
Wierden,4765.0,21209.0
Wijchen,8519.0,31417.0
Wijdemeren,3946.0,12610.0
Wijk bij Duurstede,4374.0,14315.0
Winterswijk,6294.0,24696.0
Woensdrecht,3790.0,14116.0
Woerden,9801.0,28943.0
Wormerland,3773.0,10961.0
Woudenberg,3249.0,9131.0
Zaanstad,16539.0,47841.0
Zaltbommel,6615.0,22461.0
Zandvoort,924.0,3300.0
Zeewolde,5121.0,18988.0
Zeist,7497.0,22214.0
Zevenaar,8403.0,31566.0
Zoetermeer,16293.0,50008.0
Zoeterwoude,1830.0,5905.0
Zuidplas,6820.0,21745.0
Zundert,3513.0,15257.0
Zutphen,8097.0,23831.0
Zwartewaterland,3404.0,11751.0
Zwijndrecht,4229.0,13015.0
Zwolle,28684.0,87308.0
