,Gemeentenaam,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
281,S̼dwest-Frysl̢n,20143.0,70340.0
282,Terneuzen,13225.0,40898.0
283,Terschelling,654.0,2851.0
284,Texel,3201.0,10409.0
285,Teylingen,6924.0,20253.0
286,Tholen,7023.0,20368.0
287,Tiel,5478.0,18613.0
288,Tilburg,25762.0,82619.0
289,Tubbergen,3165.0,14334.0
290,Twenterand,6370.0,24077.0
291,Tynaarlo,10319.0,36768.0
292,Tytsjerksteradiel,8993.0,31063.0
293,Uden,11271.0,38672.0
294,Uitgeest,3951.0,11558.0
295,Uithoorn,4248.0,13673.0
296,Urk,2388.0,8923.0
297,Utrecht,41682.0,116340.0
298,Utrechtse Heuvelrug,9417.0,29377.0
299,Vaals,2195.0,7119.0
300,Valkenburg aan de Geul,3324.0,14176.0
301,Valkenswaard,6780.0,24700.0
302,Veendam,3882.0,15435.0
303,Veenendaal,11183.0,36644.0
304,Veere,8096.0,25823.0
305,Veldhoven,8532.0,30777.0
306,Velsen,6931.0,19367.0
307,Venlo,21877.0,71713.0
308,Venray,13280.0,45806.0
309,Vijfheerenlanden,11002.0,32833.0
310,Vlaardingen,5774.0,13661.0
311,Vlieland,182.0,608.0
312,Vlissingen,14830.0,33841.0
313,Voerendaal,3315.0,13440.0
314,Voorschoten,2916.0,9284.0
315,Voorst,4870.0,19301.0
316,Vught,3122.0,11482.0
317,Waadhoeke,9263.0,31823.0
318,Waalre,3789.0,14541.0
319,Waalwijk,5388.0,20407.0
320,Waddinxveen,4859.0,15838.0
321,Wageningen,8190.0,23476.0
322,Wassenaar,2387.0,6971.0
323,Waterland,2491.0,7346.0
324,Weert,11204.0,43772.0
325,Weesp,3027.0,8708.0
326,West Betuwe,10747.0,39883.0
327,West Maas en Waal,6690.0,22364.0
328,Westerkwartier,15129.0,59129.0
329,Westerveld,8113.0,26823.0
330,Westervoort,2484.0,8962.0
331,Westerwolde,4362.0,19032.0
332,Westland,15800.0,61091.0
333,Weststellingwerf,4931.0,21142.0
334,Westvoorne,3449.0,12055.0
335,Wierden,4765.0,21209.0
336,Wijchen,8519.0,31417.0
337,Wijdemeren,3946.0,12610.0
338,Wijk bij Duurstede,4374.0,14315.0
339,Winterswijk,6294.0,24696.0
340,Woensdrecht,3790.0,14116.0
341,Woerden,9801.0,28943.0
342,Wormerland,3773.0,10961.0
343,Woudenberg,3249.0,9131.0
344,Zaanstad,16539.0,47841.0
345,Zaltbommel,6615.0,22461.0
346,Zandvoort,924.0,3300.0
347,Zeewolde,5121.0,18988.0
348,Zeist,7497.0,22214.0
349,Zevenaar,8403.0,31566.0
350,Zoetermeer,16293.0,50008.0
351,Zoeterwoude,1830.0,5905.0
352,Zuidplas,6820.0,21745.0
353,Zundert,3513.0,15257.0
354,Zutphen,8097.0,23831.0
355,Zwartewaterland,3404.0,11751.0
356,Zwijndrecht,4229.0,13015.0
357,Zwolle,28684.0,87308.0
