Gemeentenaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik
SLUIS,426130.0,780440.0
SMALLINGERLAND,319630.0,618970.0
SOEST,406740.0,839970.0
SOMEREN,191580.0,435240.0
SON EN BREUGEL,116720.0,254590.0
STADSKANAAL,330600.0,598130.0
STAPHORST,320730.0,646280.0
STEDE BROEC,97950.0,216450.0
STEENBERGEN,203220.0,496860.0
STEENWIJKERLAND,1017010.0,1932370.0
STEIN,184740.0,394790.0
STICHTSE VECHT,945310.0,1967190.0
S̼DWEST-FRYSL̢N,1406330.0,2571970.0
TERNEUZEN,578510.0,1134150.0
TERSCHELLING,179300.0,320780.0
TEXEL,177710.0,335830.0
TEYLINGEN,153830.0,339680.0
THOLEN,233420.0,522320.0
TIEL,338430.0,722070.0
TILBURG,1737750.0,5099460.0
TUBBERGEN,339770.0,745020.0
TWENTERAND,366670.0,803500.0
TYNAARLO,547110.0,959590.0
TYTSJERKSTERADIEL,401510.0,699970.0
UDEN,301050.0,701430.0
UITGEEST,83770.0,188420.0
UITHOORN,223270.0,494230.0
URK,123280.0,269410.0
UTRECHT,744070.0,2079740.0
UTRECHTSE HEUVELRUG,442820.0,844220.0
VAALS,107950.0,229030.0
VALKENBURG AAN DE GEUL,330790.0,599830.0
VALKENSWAARD,246550.0,549150.0
VEENDAM,235470.0,404060.0
VEENENDAAL,396700.0,929860.0
VEERE,416840.0,819640.0
VELDHOVEN,216210.0,489470.0
VELSEN,680410.0,1419260.0
VENLO,1132190.0,2385600.0
VENRAY,596150.0,1328570.0
VIJFHEERENLANDEN,544030.0,1171460.0
VLAARDINGEN,293090.0,715550.0
VLIELAND,32950.0,69600.0
VLISSINGEN,324690.0,704030.0
VOERENDAAL,233760.0,460640.0
VOORSCHOTEN,156500.0,332600.0
VOORST,361360.0,740810.0
VUGHT,238730.0,498360.0
WAADHOEKE,1139670.0,2122820.0
WAALRE,87630.0,173620.0
WAALWIJK,227090.0,514440.0
WADDINXVEEN,245630.0,564780.0
WAGENINGEN,357090.0,789960.0
WASSENAAR,375660.0,621160.0
WATERLAND,263200.0,556850.0
WEERT,534690.0,1133530.0
WEESP,222890.0,535830.0
WEST BETUWE,742480.0,1647740.0
WEST MAAS EN WAAL,275630.0,565980.0
WESTERKWARTIER,935750.0,1672860.0
WESTERVELD,572030.0,1034060.0
WESTERVOORT,45910.0,167740.0
WESTERWOLDE,603680.0,1040720.0
WESTLAND,764260.0,1854560.0
WESTSTELLINGWERF,701050.0,1264220.0
WESTVOORNE,181760.0,393120.0
WIERDEN,350350.0,736260.0
WIJCHEN,608090.0,1389740.0
WIJDEMEREN,293260.0,582690.0
WIJK BIJ DUURSTEDE,229840.0,528840.0
WINTERSWIJK,212340.0,435070.0
WOENSDRECHT,178270.0,413220.0
WOERDEN,395850.0,836650.0
WORMERLAND,185050.0,384810.0
WOUDENBERG,142860.0,311390.0
ZAANSTAD,655650.0,1382440.0
ZALTBOMMEL,296440.0,699510.0
ZANDVOORT,212710.0,438040.0
ZEEWOLDE,98140.0,202610.0
ZEIST,446130.0,896730.0
ZEVENAAR,467130.0,1044910.0
ZOETERMEER,302180.0,771790.0
ZOETERWOUDE,217240.0,479390.0
ZUIDPLAS,432820.0,1062900.0
ZUNDERT,186160.0,404530.0
ZUTPHEN,370140.0,756230.0
ZWARTEWATERLAND,361420.0,742320.0
ZWIJNDRECHT,656700.0,1468820.0
ZWOLLE,772210.0,1698240.0
