Gemeentenaam,distance,WeerStation
Winsum,164.03184837644912,DE BILT
Winsum,123.64244201968589,DE KOOY
Winsum,24.393701276581584,EELDE
Winsum,223.39455698173666,EINDHOVEN
Winsum,223.93552089214532,GILZE-RIJEN
Winsum,188.34253897761707,HERWIJNEN
Winsum,65.62263288814154,HOOGEVEEN
Winsum,76.92764240192,HOORN (TERSCHELLING)
Winsum,141.61108681836296,HUPSEL
Winsum,51.35135220737883,LEEUWARDEN
Winsum,117.98094597304993,LELYSTAD
Winsum,275.2475991196936,MAASTRICHT
Winsum,81.65755717774552,MARKNESSE
Winsum,46.2763499831921,NIEUW BEERTA
Winsum,206.65069082205292,ROTTERDAM
Winsum,161.65873768557577,SCHIPHOL
Winsum,89.21942621741822,STAVOREN
Winsum,121.32134925909129,TWENTHE
Winsum,192.6460581583662,VOORSCHOTEN
Winsum,288.9874606282973,VLISSINGEN
Winsum,194.38927365163428,VOLKEL
Winsum,295.94909767862214,WESTDORPE
Boarnsterhim,178.98405935471675,ARCEN
Boarnsterhim,77.04665668562886,BERKHOUT
Boarnsterhim,139.77724695362775,CABAUW
Boarnsterhim,115.3435394908843,DEELEN
Boarnsterhim,119.4223248663538,DE BILT
Boarnsterhim,74.09449015401223,DE KOOY
Boarnsterhim,49.30796359770222,EELDE
Boarnsterhim,185.48658809023027,EINDHOVEN
Boarnsterhim,180.9338863155925,GILZE-RIJEN
Boarnsterhim,145.3637659867515,HERWIJNEN
Boarnsterhim,61.79730393655515,HOOGEVEEN
Boarnsterhim,47.39931217538127,HOORN (TERSCHELLING)
Boarnsterhim,126.3210240152729,HUPSEL
Boarnsterhim,16.060576294515666,LEEUWARDEN
Boarnsterhim,74.04530239319739,LELYSTAD
Boarnsterhim,243.35592147672975,MAASTRICHT
Boarnsterhim,43.41162616996695,MARKNESSE
Boarnsterhim,87.69965885787107,NIEUW BEERTA
Boarnsterhim,157.7893902738248,ROTTERDAM
Boarnsterhim,112.10230198025745,SCHIPHOL
Boarnsterhim,38.08157149202761,STAVOREN
Boarnsterhim,115.08208714635967,TWENTHE
Boarnsterhim,142.74524175269005,VOORSCHOTEN
Boarnsterhim,239.5995126761818,VLISSINGEN
Boarnsterhim,159.80553004816247,VOLKEL
Boarnsterhim,248.315154989174,WESTDORPE
Zuidhorn,198.71957558256355,ARCEN
Zuidhorn,117.51932381554424,BERKHOUT
Zuidhorn,175.74714232687808,CABAUW
Zuidhorn,140.4266145253596,DEELEN
Zuidhorn,154.21005196363262,DE BILT
Zuidhorn,113.70770732850187,DE KOOY
Zuidhorn,22.30298397578833,EELDE
Zuidhorn,214.615582744853,EINDHOVEN
Zuidhorn,214.40993710251217,GILZE-RIJEN
Zuidhorn,178.77145231101517,HERWIJNEN
Zuidhorn,60.54060968311517,HOOGEVEEN
Zuidhorn,69.62881193307811,HOORN (TERSCHELLING)
Zuidhorn,136.1672365987557,HUPSEL
Zuidhorn,42.0252312211323,LEEUWARDEN
Zuidhorn,108.11913060002243,LELYSTAD
Zuidhorn,267.52459443490375,MAASTRICHT
Zuidhorn,72.09911122192425,MARKNESSE
Zuidhorn,52.62281876662592,NIEUW BEERTA
Zuidhorn,196.3756991886661,ROTTERDAM
Zuidhorn,151.305683037185,SCHIPHOL
Zuidhorn,78.84492085569377,STAVOREN
Zuidhorn,117.30601409825569,TWENTHE
Zuidhorn,182.27336317183534,VOORSCHOTEN
Zuidhorn,278.67464879472635,VLISSINGEN
Zuidhorn,186.05184235300766,VOLKEL
Zuidhorn,285.84167153604415,WESTDORPE
Dongeradeel,207.83540399772016,ARCEN
Dongeradeel,107.27957671910467,BERKHOUT
Dongeradeel,172.4791970054188,CABAUW
Dongeradeel,145.93799111171984,DEELEN
Dongeradeel,152.1907365923122,DE BILT
Dongeradeel,97.34342375230288,DE KOOY
Dongeradeel,44.875365647146104,EELDE
Dongeradeel,217.56791853111042,EINDHOVEN
Dongeradeel,213.6773436809001,GILZE-RIJEN
Dongeradeel,178.0838041486673,HERWIJNEN
Dongeradeel,76.9928900600241,HOOGEVEEN
Dongeradeel,46.4830137649588,HOORN (TERSCHELLING)
Dongeradeel,149.89820101973837,HUPSEL
Dongeradeel,24.833168545268357,LEEUWARDEN
Dongeradeel,106.71696381673404,LELYSTAD
Dongeradeel,274.1067815537045,MAASTRICHT
Dongeradeel,74.22171944898368,MARKNESSE
Dongeradeel,76.16328263887233,NIEUW BEERTA
Dongeradeel,189.66532812387265,ROTTERDAM
Dongeradeel,143.73180615656906,SCHIPHOL
Dongeradeel,68.02145352608645,STAVOREN
Dongeradeel,134.0359029308681,TWENTHE
Dongeradeel,173.94499636032785,VOORSCHOTEN
Dongeradeel,270.9709517419182,VLISSINGEN
Dongeradeel,191.02307838610028,VOLKEL
Dongeradeel,280.54527699212485,WESTDORPE
Achtkarspelen,191.7804154512627,ARCEN
Achtkarspelen,101.26353870741687,BERKHOUT
Achtkarspelen,161.8243267674211,CABAUW
Achtkarspelen,130.94506505449937,DEELEN
Achtkarspelen,140.76063678422273,DE BILT
Achtkarspelen,96.95495533066594,DE KOOY
