Gemeentenaam,Inwoneraantal,"Groot, middelgroot en klein"
OOSTERHOUT,55147,Middelgroot
OSS,90951,Middelgroot
OUDE IJSSELSTREEK,39520,Klein
OVERBETUWE,47481,Klein
PAPENDRECHT,32264,Klein
PEEL EN MAAS,43312,Klein
PIJNACKER-NOOTDORP,53634,Middelgroot
PURMEREND,79983,Middelgroot
RAALTE,37158,Klein
RENKUM,31338,Klein
RHEDEN,43527,Klein
RIDDERKERK,45789,Klein
RIJSSEN-HOLTEN,38097,Klein
RIJSWIJK,52208,Middelgroot
ROERMOND,57761,Middelgroot
ROOSENDAAL,77000,Middelgroot
ROTTERDAM,638712,Groot
SCHAGEN,46379,Klein
SCHIEDAM,77907,Middelgroot
SCHOUWEN-DUIVELAND,33687,Klein
'S-GRAVENHAGE,532561,Groot
'S-HERTOGENBOSCH,153434,Groot
SITTARD-GELEEN,92956,Middelgroot
SMALLINGERLAND,55889,Middelgroot
SOEST,46089,Klein
STADSKANAAL,32258,Klein
STEENWIJKERLAND,43768,Klein
STICHTSE VECHT,64513,Middelgroot
S£DWEST FRYSLN,89583,Middelgroot
TERNEUZEN,54440,Middelgroot
TEYLINGEN,36584,Klein
TIEL,41465,Klein
TILBURG,215521,Groot
TWENTERAND,33903,Klein
TYNAARLO,33462,Klein
TYTSJERKSTERADIEL,31870,Klein
UDEN,41725,Klein
UTRECHT,347483,Groot
UTRECHTSE HEUVELRUG,49314,Klein
VALKENSWAARD,30654,Klein
VEENENDAAL,64918,Middelgroot
VELDHOVEN,44925,Klein
VELSEN,67831,Middelgroot
VENLO,101192,Groot
VENRAY,43341,Klein
VIJFHEERENLANDEN,55001,Middelgroot
VLAARDINGEN,72050,Middelgroot
VLISSINGEN,44485,Klein
WAADHOEKE,46112,Klein
WAALWIJK,47725,Klein
WAGENINGEN,38412,Klein
WEERT,49855,Klein
WEST BETUWE,50349,Middelgroot
WESTERKWARTIER,62844,Middelgroot
WESTLAND,107492,Groot
WIJCHEN,40847,Klein
WOERDEN,51758,Middelgroot
ZAANSTAD,154865,Groot
ZEIST,63322,Middelgroot
ZEVENAAR,43402,Klein
ZOETERMEER,124695,Groot
ZUIDPLAS,41882,Klein
ZUTPHEN,47537,Klein
ZWIJNDRECHT,44586,Klein
ZWOLLE,126116,Groot
