,Gemeentenaam,distance,WeerStation
3409,RENSWOUDE,23.346645277019544,DEELEN
9809,REUSEL-DE MIERDEN,16.55413154766309,EINDHOVEN
2629,RHEDEN,12.676121843739326,DEELEN
3435,RHENEN,23.042643457306724,DEELEN
6180,RIDDERKERK,14.385952649171394,ROTTERDAM
1823,RIJNWAARDEN,23.108373847213876,DEELEN
9902,RIJNWOUDE,10.47042997458499,VOORSCHOTEN
10724,RIJSSEN-HOLTEN,28.424304641561985,HUPSEL
6258,RIJSWIJK,11.862519857987412,ROTTERDAM
9843,ROERDALEN,32.909598874275524,MAASTRICHT
9126,ROERMOND,35.59241422735006,ARCEN
9914,ROOSENDAAL,35.72773817709595,GILZE-RIJEN
6206,ROTTERDAM,4.941244287838411,ROTTERDAM
6232,ROZENBURG,15.700010742545748,ROTTERDAM
2655,ROZENDAAL,7.334671359516006,DEELEN
8172,RUCPHEN,26.786268508062907,GILZE-RIJEN
4711,SCHAGEN,16.22544287249673,DE KOOY
4863,SCHERMER,11.140720961000303,BERKHOUT
2682,SCHERPENZEEL,22.23242987815797,DE BILT
6284,SCHIEDAM,5.483290412876857,ROTTERDAM
975,SCHIERMONNIKOOG,41.90924438985648,LEEUWARDEN
8197,SCHIJNDEL,19.578324232014737,EINDHOVEN
9167,SCHINNEN,10.381556806462404,MAASTRICHT
6294,SCHOONHOVEN,5.308568931880917,CABAUW
9955,SCHOUWEN-DUIVELAND,36.89435676208977,VLISSINGEN
9193,SIMPELVELD,17.78094622964515,MAASTRICHT
10242,SINT ANTHONIS,10.980236878867451,VOLKEL
8223,SINT-MICHIELSGESTEL,22.65008779484058,EINDHOVEN
8249,SINT-OEDENRODE,13.866304243734564,EINDHOVEN
10935,SITTARD-GELEEN,12.184542059544883,MAASTRICHT
488,SKARSTERL�N,28.35774965791874,STAVOREN
6320,SLIEDRECHT,18.91766230678435,CABAUW
370,SLOCHTEREN,18.72371729156898,EELDE
10397,SLUIS,12.673421976351488,VLISSINGEN
1001,SMALLINGERLAND,22.233610669899534,LEEUWARDEN
1027,SNEEK,21.356155490167332,LEEUWARDEN
3462,SOEST,11.160906460682211,DE BILT
8275,SOMEREN,22.81972823078248,EINDHOVEN
8301,SON EN BREUGEL,10.894164678070725,EINDHOVEN
6388,SPIJKENISSE,15.023194440321657,ROTTERDAM
355,STADSKANAAL,23.05330991760176,NIEUW BEERTA
1706,STAPHORST,22.55644415553033,MARKNESSE
5565,STEDE BROEC,17.82850956674212,BERKHOUT
8338,STEENBERGEN,41.03164232859737,ROTTERDAM
10312,STEENWIJKERLAND,10.483772807635516,MARKNESSE
9219,STEIN,7.255014347556316,MAASTRICHT
6466,STRIJEN,24.3530827914476,ROTTERDAM
84,TEN BOER,19.778014829007333,EELDE
7175,TERNEUZEN,7.383455434650884,WESTDORPE
1051,TERSCHELLING,0.4551823330764621,HOORN (TERSCHELLING)
4737,TEXEL,15.307233632205008,DE KOOY
9486,TEYLINGEN,9.274348413046033,VOORSCHOTEN
7199,THOLEN,40.57758019187096,VLISSINGEN
2713,TIEL,18.57851221209373,HERWIJNEN
8380,TILBURG,9.296581063011754,GILZE-RIJEN
1737,TUBBERGEN,16.62682334270764,TWENTHE
10187,TWENTERAND,28.09746147591082,TWENTHE
10588,TYNAARLO,2.686842591567092,EELDE
7319,TYTSJERKSTERADIEL,13.53344179978709,LEEUWARDEN
2733,UBBERGEN,24.11037740146432,DEELEN
8422,UDEN,4.820378419664069,VOLKEL
4759,UITGEEST,21.756112309124237,BERKHOUT
4803,UITHOORN,9.138350552328774,SCHIPHOL
1758,URK,18.64046525628691,MARKNESSE
3488,UTRECHT,7.1057085228928765,DE BILT
9494,UTRECHTSE HEUVELRUG,15.85414082973565,DE BILT
9245,VAALS,20.35248583806118,MAASTRICHT
9375,VALKENBURG AAN DE GEUL,6.741154591588184,MAASTRICHT
8431,VALKENSWAARD,14.074944903588436,EINDHOVEN
396,VEENDAM,20.66003091196122,EELDE
3513,VEENENDAAL,21.906334977102325,DEELEN
7225,VEERE,12.515806573099086,VLISSINGEN
