Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
798,HILVARENBEEK,30,NOORD-BRABANT,180860.0,404970.0,EINDHOVEN,36.9,3.8,ORANJE,2799.0,11911.0
402,HILVERSUM,27,NOORD-HOLLAND,571290.0,1028940.0,DE BILT,36.4,3.6,NO RESTRICTIONS,9280.0,23826.0
1963,HOEKSCHE WAARD,28,ZUID-HOLLAND,523150.0,1183110.0,,,,NO RESTRICTIONS,15123.0,47796.0
1735,HOF VAN TWENTE,23,OVERIJSSEL,591770.0,1217830.0,HUPSEL,   36.3,3.4,GEEL,7437.0,28674.0
1966,HET HOGELAND,20,GRONINGEN,825230.0,1308400.0,,,,GEEL,17606.0,57370.0
1911,HOLLANDS KROON,27,NOORD-HOLLAND,495590.0,1045150.0,,,,NO RESTRICTIONS,10771.0,38556.0
118,HOOGEVEEN,22,DRENTHE,580470.0,1149120.0,HOOGEVEEN,36.3,4.0,ROOD,16744.0,53842.0
405,HOORN,27,NOORD-HOLLAND,691140.0,1550880.0,BERKHOUT,   38.6,,NO RESTRICTIONS,13226.0,37300.0
1507,HORST AAN DE MAAS,31,LIMBURG,658750.0,1453450.0,ARCEN,35.8,3.1,ROOD,11491.0,48555.0
321,HOUTEN,26,UTRECHT,468510.0,1323260.0,DE BILT,36.4,3.6,NO RESTRICTIONS,10032.0,31078.0
406,HUIZEN,27,NOORD-HOLLAND,435590.0,857150.0,DE BILT,36.4,3.6,NO RESTRICTIONS,9570.0,25573.0
677,HULST,29,ZEELAND,518880.0,1026880.0,WESTDORPE,37.7,4.2,NO RESTRICTIONS,10085.0,29935.0
353,IJSSELSTEIN,26,UTRECHT,252800.0,626860.0,CABAUW,      -,4.3,NO RESTRICTIONS,4575.0,14675.0
1884,KAAG EN BRAASSEM,28,ZUID-HOLLAND,298790.0,678600.0,VOORSCHOTEN,,,NO RESTRICTIONS,6381.0,22724.0
